passengerid,survived,pclass,sex,age,sibsp
1,0,3,male,22.0,1
2,1,1,female,38.0,1
3,1,3,female,26.0,0
4,1,1,female,35.0,1
5,0,3,male,35.0,0
6,0,3,male,,0
7,0,1,male,54.0,0
8,0,3,male,2.0,3
9,1,3,female,27.0,0
10,1,2,female,14.0,1
11,1,3,female,4.0,1
12,1,1,female,58.0,0
13,0,3,male,20.0,0
14,0,3,male,39.0,1
15,0,3,female,14.0,0
16,1,2,female,55.0,0
17,0,3,male,2.0,4
18,1,2,male,,0
19,0,3,female,31.0,1
20,1,3,female,,0
21,0,2,male,35.0,0
22,1,2,male,34.0,0
23,1,3,female,15.0,0
24,1,1,male,28.0,0
25,0,3,female,8.0,3
26,1,3,female,38.0,1
27,0,3,male,,0
28,0,1,male,19.0,3
29,1,3,female,,0
30,0,3,male,,0
31,0,1,male,40.0,0
32,1,1,female,,1
33,1,3,female,,0
34,0,2,male,66.0,0
35,0,1,male,28.0,1
36,0,1,male,42.0,1
37,1,3,male,,0
38,0,3,male,21.0,0
39,0,3,female,18.0,2
40,1,3,female,14.0,1
41,0,3,female,40.0,1
42,0,2,female,27.0,1
43,0,3,male,,0
44,1,2,female,3.0,1
45,1,3,female,19.0,0
46,0,3,male,,0
47,0,3,male,,1
48,1,3,female,,0
49,0,3,male,,2
50,0,3,female,18.0,1
51,0,3,male,7.0,4
52,0,3,male,21.0,0
53,1,1,female,49.0,1
54,1,2,female,29.0,1
55,0,1,male,65.0,0
56,1,1,male,,0
57,1,2,female,21.0,0
58,0,3,male,28.5,0
59,1,2,female,5.0,1
60,0,3,male,11.0,5
61,0,3,male,22.0,0
62,1,1,female,38.0,0
63,0,1,male,45.0,1
64,0,3,male,4.0,3
65,0,1,male,,0
66,1,3,male,,1
67,1,2,female,29.0,0
68,0,3,male,19.0,0
69,1,3,female,17.0,4
70,0,3,male,26.0,2
71,0,2,male,32.0,0
72,0,3,female,16.0,5
73,0,2,male,21.0,0
74,0,3,male,26.0,1
75,1,3,male,32.0,0
76,0,3,male,25.0,0
77,0,3,male,,0
78,0,3,male,,0
79,1,2,male,0.83,0
80,1,3,female,30.0,0
81,0,3,male,22.0,0
82,1,3,male,29.0,0
83,1,3,female,,0
84,0,1,male,28.0,0
85,1,2,female,17.0,0
86,1,3,female,33.0,3
87,0,3,male,16.0,1
88,0,3,male,,0
89,1,1,female,23.0,3
90,0,3,male,24.0,0
91,0,3,male,29.0,0
92,0,3,male,20.0,0
93,0,1,male,46.0,1
94,0,3,male,26.0,1
95,0,3,male,59.0,0
96,0,3,male,,0
97,0,1,male,71.0,0
98,1,1,male,23.0,0
99,1,2,female,34.0,0
100,0,2,male,34.0,1
101,0,3,female,28.0,0
102,0,3,male,,0
103,0,1,male,21.0,0
104,0,3,male,33.0,0
105,0,3,male,37.0,2
106,0,3,male,28.0,0
107,1,3,female,21.0,0
108,1,3,male,,0
109,0,3,male,38.0,0
110,1,3,female,,1
111,0,1,male,47.0,0
112,0,3,female,14.5,1
113,0,3,male,22.0,0
114,0,3,female,20.0,1
115,0,3,female,17.0,0
116,0,3,male,21.0,0
117,0,3,male,70.5,0
118,0,2,male,29.0,1
119,0,1,male,24.0,0
120,0,3,female,2.0,4
121,0,2,male,21.0,2
122,0,3,male,,0
123,0,2,male,32.5,1
124,1,2,female,32.5,0
125,0,1,male,54.0,0
126,1,3,male,12.0,1
127,0,3,male,,0
128,1,3,male,24.0,0
129,1,3,female,,1
130,0,3,male,45.0,0
131,0,3,male,33.0,0
132,0,3,male,20.0,0
133,0,3,female,47.0,1
134,1,2,female,29.0,1
135,0,2,male,25.0,0
136,0,2,male,23.0,0
137,1,1,female,19.0,0
138,0,1,male,37.0,1
139,0,3,male,16.0,0
140,0,1,male,24.0,0
141,0,3,female,,0
142,1,3,female,22.0,0
143,1,3,female,24.0,1
144,0,3,male,19.0,0
145,0,2,male,18.0,0
146,0,2,male,19.0,1
147,1,3,male,27.0,0
148,0,3,female,9.0,2
149,0,2,male,36.5,0
150,0,2,male,42.0,0
151,0,2,male,51.0,0
152,1,1,female,22.0,1
153,0,3,male,55.5,0
154,0,3,male,40.5,0
155,0,3,male,,0
156,0,1,male,51.0,0
157,1,3,female,16.0,0
158,0,3,male,30.0,0
159,0,3,male,,0
160,0,3,male,,8
161,0,3,male,44.0,0
162,1,2,female,40.0,0
163,0,3,male,26.0,0
164,0,3,male,17.0,0
165,0,3,male,1.0,4
166,1,3,male,9.0,0
167,1,1,female,,0
168,0,3,female,45.0,1
169,0,1,male,,0
170,0,3,male,28.0,0
171,0,1,male,61.0,0
172,0,3,male,4.0,4
173,1,3,female,1.0,1
174,0,3,male,21.0,0
175,0,1,male,56.0,0
176,0,3,male,18.0,1
177,0,3,male,,3
178,0,1,female,50.0,0
179,0,2,male,30.0,0
180,0,3,male,36.0,0
181,0,3,female,,8
182,0,2,male,,0
183,0,3,male,9.0,4
184,1,2,male,1.0,2
185,1,3,female,4.0,0
186,0,1,male,,0
187,1,3,female,,1
188,1,1,male,45.0,0
189,0,3,male,40.0,1
190,0,3,male,36.0,0
191,1,2,female,32.0,0
192,0,2,male,19.0,0
193,1,3,female,19.0,1
194,1,2,male,3.0,1
195,1,1,female,44.0,0
196,1,1,female,58.0,0
197,0,3,male,,0
198,0,3,male,42.0,0
199,1,3,female,,0
200,0,2,female,24.0,0
201,0,3,male,28.0,0
202,0,3,male,,8
203,0,3,male,34.0,0
204,0,3,male,45.5,0
205,1,3,male,18.0,0
206,0,3,female,2.0,0
207,0,3,male,32.0,1
208,1,3,male,26.0,0
209,1,3,female,16.0,0
210,1,1,male,40.0,0
211,0,3,male,24.0,0
212,1,2,female,35.0,0
213,0,3,male,22.0,0
214,0,2,male,30.0,0
215,0,3,male,,1
216,1,1,female,31.0,1
217,1,3,female,27.0,0
218,0,2,male,42.0,1
219,1,1,female,32.0,0
220,0,2,male,30.0,0
221,1,3,male,16.0,0
222,0,2,male,27.0,0
223,0,3,male,51.0,0
224,0,3,male,,0
225,1,1,male,38.0,1
226,0,3,male,22.0,0
227,1,2,male,19.0,0
228,0,3,male,20.5,0
229,0,2,male,18.0,0
230,0,3,female,,3
231,1,1,female,35.0,1
232,0,3,male,29.0,0
233,0,2,male,59.0,0
234,1,3,female,5.0,4
235,0,2,male,24.0,0
236,0,3,female,,0
237,0,2,male,44.0,1
238,1,2,female,8.0,0
239,0,2,male,19.0,0
240,0,2,male,33.0,0
241,0,3,female,,1
242,1,3,female,,1
243,0,2,male,29.0,0
244,0,3,male,22.0,0
245,0,3,male,30.0,0
246,0,1,male,44.0,2
247,0,3,female,25.0,0
248,1,2,female,24.0,0
249,1,1,male,37.0,1
250,0,2,male,54.0,1
251,0,3,male,,0
252,0,3,female,29.0,1
253,0,1,male,62.0,0
254,0,3,male,30.0,1
255,0,3,female,41.0,0
256,1,3,female,29.0,0
257,1,1,female,,0
258,1,1,female,30.0,0
259,1,1,female,35.0,0
260,1,2,female,50.0,0
261,0,3,male,,0
262,1,3,male,3.0,4
263,0,1,male,52.0,1
264,0,1,male,40.0,0
265,0,3,female,,0
266,0,2,male,36.0,0
267,0,3,male,16.0,4
268,1,3,male,25.0,1
269,1,1,female,58.0,0
270,1,1,female,35.0,0
271,0,1,male,,0
272,1,3,male,25.0,0
273,1,2,female,41.0,0
274,0,1,male,37.0,0
275,1,3,female,,0
276,1,1,female,63.0,1
277,0,3,female,45.0,0
278,0,2,male,,0
279,0,3,male,7.0,4
280,1,3,female,35.0,1
281,0,3,male,65.0,0
282,0,3,male,28.0,0
283,0,3,male,16.0,0
284,1,3,male,19.0,0
285,0,1,male,,0
286,0,3,male,33.0,0
287,1,3,male,30.0,0
288,0,3,male,22.0,0
289,1,2,male,42.0,0
290,1,3,female,22.0,0
291,1,1,female,26.0,0
292,1,1,female,19.0,1
293,0,2,male,36.0,0
294,0,3,female,24.0,0
295,0,3,male,24.0,0
296,0,1,male,,0
297,0,3,male,23.5,0
298,0,1,female,2.0,1
299,1,1,male,,0
300,1,1,female,50.0,0
301,1,3,female,,0
302,1,3,male,,2
303,0,3,male,19.0,0
304,1,2,female,,0
305,0,3,male,,0
306,1,1,male,0.92,1
307,1,1,female,,0
308,1,1,female,17.0,1
309,0,2,male,30.0,1
310,1,1,female,30.0,0
311,1,1,female,24.0,0
312,1,1,female,18.0,2
313,0,2,female,26.0,1
314,0,3,male,28.0,0
315,0,2,male,43.0,1
316,1,3,female,26.0,0
317,1,2,female,24.0,1
318,0,2,male,54.0,0
319,1,1,female,31.0,0
320,1,1,female,40.0,1
321,0,3,male,22.0,0
322,0,3,male,27.0,0
323,1,2,female,30.0,0
324,1,2,female,22.0,1
325,0,3,male,,8
326,1,1,female,36.0,0
327,0,3,male,61.0,0
328,1,2,female,36.0,0
329,1,3,female,31.0,1
330,1,1,female,16.0,0
331,1,3,female,,2
332,0,1,male,45.5,0
333,0,1,male,38.0,0
334,0,3,male,16.0,2
335,1,1,female,,1
336,0,3,male,,0
337,0,1,male,29.0,1
338,1,1,female,41.0,0
339,1,3,male,45.0,0
340,0,1,male,45.0,0
341,1,2,male,2.0,1
342,1,1,female,24.0,3
343,0,2,male,28.0,0
344,0,2,male,25.0,0
345,0,2,male,36.0,0
346,1,2,female,24.0,0
347,1,2,female,40.0,0
348,1,3,female,,1
349,1,3,male,3.0,1
350,0,3,male,42.0,0
351,0,3,male,23.0,0
352,0,1,male,,0
353,0,3,male,15.0,1
354,0,3,male,25.0,1
355,0,3,male,,0
356,0,3,male,28.0,0
357,1,1,female,22.0,0
358,0,2,female,38.0,0
359,1,3,female,,0
360,1,3,female,,0
361,0,3,male,40.0,1
362,0,2,male,29.0,1
363,0,3,female,45.0,0
364,0,3,male,35.0,0
365,0,3,male,,1
366,0,3,male,30.0,0
367,1,1,female,60.0,1
368,1,3,female,,0
369,1,3,female,,0
370,1,1,female,24.0,0
371,1,1,male,25.0,1
372,0,3,male,18.0,1
373,0,3,male,19.0,0
374,0,1,male,22.0,0
375,0,3,female,3.0,3
376,1,1,female,,1
377,1,3,female,22.0,0
378,0,1,male,27.0,0
379,0,3,male,20.0,0
380,0,3,male,19.0,0
381,1,1,female,42.0,0
382,1,3,female,1.0,0
383,0,3,male,32.0,0
384,1,1,female,35.0,1
385,0,3,male,,0
386,0,2,male,18.0,0
387,0,3,male,1.0,5
388,1,2,female,36.0,0
389,0,3,male,,0
390,1,2,female,17.0,0
391,1,1,male,36.0,1
392,1,3,male,21.0,0
393,0,3,male,28.0,2
394,1,1,female,23.0,1
395,1,3,female,24.0,0
396,0,3,male,22.0,0
397,0,3,female,31.0,0
398,0,2,male,46.0,0
399,0,2,male,23.0,0
400,1,2,female,28.0,0
401,1,3,male,39.0,0
402,0,3,male,26.0,0
403,0,3,female,21.0,1
404,0,3,male,28.0,1
405,0,3,female,20.0,0
406,0,2,male,34.0,1
407,0,3,male,51.0,0
408,1,2,male,3.0,1
409,0,3,male,21.0,0
410,0,3,female,,3
411,0,3,male,,0
412,0,3,male,,0
413,1,1,female,33.0,1
414,0,2,male,,0
415,1,3,male,44.0,0
416,0,3,female,,0
417,1,2,female,34.0,1
418,1,2,female,18.0,0
419,0,2,male,30.0,0
420,0,3,female,10.0,0
421,0,3,male,,0
422,0,3,male,21.0,0
423,0,3,male,29.0,0
424,0,3,female,28.0,1
425,0,3,male,18.0,1
426,0,3,male,,0
427,1,2,female,28.0,1
428,1,2,female,19.0,0
429,0,3,male,,0
430,1,3,male,32.0,0
431,1,1,male,28.0,0
432,1,3,female,,1
433,1,2,female,42.0,1
434,0,3,male,17.0,0
435,0,1,male,50.0,1
436,1,1,female,14.0,1
437,0,3,female,21.0,2
438,1,2,female,24.0,2
439,0,1,male,64.0,1
440,0,2,male,31.0,0
441,1,2,female,45.0,1
442,0,3,male,20.0,0
443,0,3,male,25.0,1
444,1,2,female,28.0,0
445,1,3,male,,0
446,1,1,male,4.0,0
447,1,2,female,13.0,0
448,1,1,male,34.0,0
449,1,3,female,5.0,2
450,1,1,male,52.0,0
451,0,2,male,36.0,1
452,0,3,male,,1
453,0,1,male,30.0,0
454,1,1,male,49.0,1
455,0,3,male,,0
456,1,3,male,29.0,0
457,0,1,male,65.0,0
458,1,1,female,,1
459,1,2,female,50.0,0
460,0,3,male,,0
461,1,1,male,48.0,0
462,0,3,male,34.0,0
463,0,1,male,47.0,0
464,0,2,male,48.0,0
465,0,3,male,,0
466,0,3,male,38.0,0
467,0,2,male,,0
468,0,1,male,56.0,0
469,0,3,male,,0
470,1,3,female,0.75,2
471,0,3,male,,0
472,0,3,male,38.0,0
473,1,2,female,33.0,1
474,1,2,female,23.0,0
475,0,3,female,22.0,0
476,0,1,male,,0
477,0,2,male,34.0,1
478,0,3,male,29.0,1
479,0,3,male,22.0,0
480,1,3,female,2.0,0
481,0,3,male,9.0,5
482,0,2,male,,0
483,0,3,male,50.0,0
484,1,3,female,63.0,0
485,1,1,male,25.0,1
486,0,3,female,,3
487,1,1,female,35.0,1
488,0,1,male,58.0,0
489,0,3,male,30.0,0
490,1,3,male,9.0,1
491,0,3,male,,1
492,0,3,male,21.0,0
493,0,1,male,55.0,0
494,0,1,male,71.0,0
495,0,3,male,21.0,0
496,0,3,male,,0
497,1,1,female,54.0,1
498,0,3,male,,0
499,0,1,female,25.0,1
500,0,3,male,24.0,0
501,0,3,male,17.0,0
502,0,3,female,21.0,0
503,0,3,female,,0
504,0,3,female,37.0,0
505,1,1,female,16.0,0
506,0,1,male,18.0,1
507,1,2,female,33.0,0
508,1,1,male,,0
509,0,3,male,28.0,0
510,1,3,male,26.0,0
511,1,3,male,29.0,0
512,0,3,male,,0
513,1,1,male,36.0,0
514,1,1,female,54.0,1
515,0,3,male,24.0,0
516,0,1,male,47.0,0
517,1,2,female,34.0,0
518,0,3,male,,0
519,1,2,female,36.0,1
520,0,3,male,32.0,0
521,1,1,female,30.0,0
522,0,3,male,22.0,0
523,0,3,male,,0
524,1,1,female,44.0,0
525,0,3,male,,0
526,0,3,male,40.5,0
527,1,2,female,50.0,0
528,0,1,male,,0
529,0,3,male,39.0,0
530,0,2,male,23.0,2
531,1,2,female,2.0,1
532,0,3,male,,0
533,0,3,male,17.0,1
534,1,3,female,,0
535,0,3,female,30.0,0
536,1,2,female,7.0,0
537,0,1,male,45.0,0
538,1,1,female,30.0,0
539,0,3,male,,0
540,1,1,female,22.0,0
541,1,1,female,36.0,0
542,0,3,female,9.0,4
543,0,3,female,11.0,4
544,1,2,male,32.0,1
545,0,1,male,50.0,1
546,0,1,male,64.0,0
547,1,2,female,19.0,1
548,1,2,male,,0
549,0,3,male,33.0,1
550,1,2,male,8.0,1
551,1,1,male,17.0,0
552,0,2,male,27.0,0
553,0,3,male,,0
554,1,3,male,22.0,0
555,1,3,female,22.0,0
556,0,1,male,62.0,0
557,1,1,female,48.0,1
558,0,1,male,,0
559,1,1,female,39.0,1
560,1,3,female,36.0,1
561,0,3,male,,0
562,0,3,male,40.0,0
563,0,2,male,28.0,0
564,0,3,male,,0
565,0,3,female,,0
566,0,3,male,24.0,2
567,0,3,male,19.0,0
568,0,3,female,29.0,0
569,0,3,male,,0
570,1,3,male,32.0,0
571,1,2,male,62.0,0
572,1,1,female,53.0,2
573,1,1,male,36.0,0
574,1,3,female,,0
575,0,3,male,16.0,0
576,0,3,male,19.0,0
577,1,2,female,34.0,0
578,1,1,female,39.0,1
579,0,3,female,,1
580,1,3,male,32.0,0
581,1,2,female,25.0,1
582,1,1,female,39.0,1
583,0,2,male,54.0,0
584,0,1,male,36.0,0
585,0,3,male,,0
586,1,1,female,18.0,0
587,0,2,male,47.0,0
588,1,1,male,60.0,1
589,0,3,male,22.0,0
590,0,3,male,,0
591,0,3,male,35.0,0
592,1,1,female,52.0,1
593,0,3,male,47.0,0
594,0,3,female,,0
595,0,2,male,37.0,1
596,0,3,male,36.0,1
597,1,2,female,,0
598,0,3,male,49.0,0
599,0,3,male,,0
600,1,1,male,49.0,1
601,1,2,female,24.0,2
602,0,3,male,,0
603,0,1,male,,0
604,0,3,male,44.0,0
605,1,1,male,35.0,0
606,0,3,male,36.0,1
607,0,3,male,30.0,0
608,1,1,male,27.0,0
609,1,2,female,22.0,1
610,1,1,female,40.0,0
611,0,3,female,39.0,1
612,0,3,male,,0
613,1,3,female,,1
614,0,3,male,,0
615,0,3,male,35.0,0
616,1,2,female,24.0,1
617,0,3,male,34.0,1
618,0,3,female,26.0,1
619,1,2,female,4.0,2
620,0,2,male,26.0,0
621,0,3,male,27.0,1
622,1,1,male,42.0,1
623,1,3,male,20.0,1
624,0,3,male,21.0,0
625,0,3,male,21.0,0
626,0,1,male,61.0,0
627,0,2,male,57.0,0
628,1,1,female,21.0,0
629,0,3,male,26.0,0
630,0,3,male,,0
631,1,1,male,80.0,0
632,0,3,male,51.0,0
633,1,1,male,32.0,0
634,0,1,male,,0
635,0,3,female,9.0,3
636,1,2,female,28.0,0
637,0,3,male,32.0,0
638,0,2,male,31.0,1
639,0,3,female,41.0,0
640,0,3,male,,1
641,0,3,male,20.0,0
642,1,1,female,24.0,0
643,0,3,female,2.0,3
644,1,3,male,,0
645,1,3,female,0.75,2
646,1,1,male,48.0,1
647,0,3,male,19.0,0
648,1,1,male,56.0,0
649,0,3,male,,0
650,1,3,female,23.0,0
651,0,3,male,,0
652,1,2,female,18.0,0
653,0,3,male,21.0,0
654,1,3,female,,0
655,0,3,female,18.0,0
656,0,2,male,24.0,2
657,0,3,male,,0
658,0,3,female,32.0,1
659,0,2,male,23.0,0
660,0,1,male,58.0,0
661,1,1,male,50.0,2
662,0,3,male,40.0,0
663,0,1,male,47.0,0
664,0,3,male,36.0,0
665,1,3,male,20.0,1
666,0,2,male,32.0,2
667,0,2,male,25.0,0
668,0,3,male,,0
669,0,3,male,43.0,0
670,1,1,female,,1
671,1,2,female,40.0,1
672,0,1,male,31.0,1
673,0,2,male,70.0,0
674,1,2,male,31.0,0
675,0,2,male,,0
676,0,3,male,18.0,0
677,0,3,male,24.5,0
678,1,3,female,18.0,0
679,0,3,female,43.0,1
680,1,1,male,36.0,0
681,0,3,female,,0
682,1,1,male,27.0,0
683,0,3,male,20.0,0
684,0,3,male,14.0,5
685,0,2,male,60.0,1
686,0,2,male,25.0,1
687,0,3,male,14.0,4
688,0,3,male,19.0,0
689,0,3,male,18.0,0
690,1,1,female,15.0,0
691,1,1,male,31.0,1
692,1,3,female,4.0,0
693,1,3,male,,0
694,0,3,male,25.0,0
695,0,1,male,60.0,0
696,0,2,male,52.0,0
697,0,3,male,44.0,0
698,1,3,female,,0
699,0,1,male,49.0,1
700,0,3,male,42.0,0
701,1,1,female,18.0,1
702,1,1,male,35.0,0
703,0,3,female,18.0,0
704,0,3,male,25.0,0
705,0,3,male,26.0,1
706,0,2,male,39.0,0
707,1,2,female,45.0,0
708,1,1,male,42.0,0
709,1,1,female,22.0,0
710,1,3,male,,1
711,1,1,female,24.0,0
712,0,1,male,,0
713,1,1,male,48.0,1
714,0,3,male,29.0,0
715,0,2,male,52.0,0
716,0,3,male,19.0,0
717,1,1,female,38.0,0
718,1,2,female,27.0,0
719,0,3,male,,0
720,0,3,male,33.0,0
721,1,2,female,6.0,0
722,0,3,male,17.0,1
723,0,2,male,34.0,0
724,0,2,male,50.0,0
725,1,1,male,27.0,1
726,0,3,male,20.0,0
727,1,2,female,30.0,3
728,1,3,female,,0
729,0,2,male,25.0,1
730,0,3,female,25.0,1
731,1,1,female,29.0,0
732,0,3,male,11.0,0
733,0,2,male,,0
734,0,2,male,23.0,0
735,0,2,male,23.0,0
736,0,3,male,28.5,0
737,0,3,female,48.0,1
738,1,1,male,35.0,0
739,0,3,male,,0
740,0,3,male,,0
741,1,1,male,,0
742,0,1,male,36.0,1
743,1,1,female,21.0,2
744,0,3,male,24.0,1
745,1,3,male,31.0,0
746,0,1,male,70.0,1
747,0,3,male,16.0,1
748,1,2,female,30.0,0
749,0,1,male,19.0,1
750,0,3,male,31.0,0
751,1,2,female,4.0,1
752,1,3,male,6.0,0
753,0,3,male,33.0,0
754,0,3,male,23.0,0
755,1,2,female,48.0,1
756,1,2,male,0.67,1
757,0,3,male,28.0,0
758,0,2,male,18.0,0
759,0,3,male,34.0,0
760,1,1,female,33.0,0
761,0,3,male,,0
762,0,3,male,41.0,0
763,1,3,male,20.0,0
764,1,1,female,36.0,1
765,0,3,male,16.0,0
766,1,1,female,51.0,1
767,0,1,male,,0
768,0,3,female,30.5,0
769,0,3,male,,1
770,0,3,male,32.0,0
771,0,3,male,24.0,0
772,0,3,male,48.0,0
773,0,2,female,57.0,0
774,0,3,male,,0
775,1,2,female,54.0,1
776,0,3,male,18.0,0
777,0,3,male,,0
778,1,3,female,5.0,0
779,0,3,male,,0
780,1,1,female,43.0,0
781,1,3,female,13.0,0
782,1,1,female,17.0,1
783,0,1,male,29.0,0
784,0,3,male,,1
785,0,3,male,25.0,0
786,0,3,male,25.0,0
787,1,3,female,18.0,0
788,0,3,male,8.0,4
789,1,3,male,1.0,1
790,0,1,male,46.0,0
791,0,3,male,,0
792,0,2,male,16.0,0
793,0,3,female,,8
794,0,1,male,,0
795,0,3,male,25.0,0
796,0,2,male,39.0,0
797,1,1,female,49.0,0
798,1,3,female,31.0,0
799,0,3,male,30.0,0
800,0,3,female,30.0,1
801,0,2,male,34.0,0
802,1,2,female,31.0,1
803,1,1,male,11.0,1
804,1,3,male,0.42,0
805,1,3,male,27.0,0
806,0,3,male,31.0,0
807,0,1,male,39.0,0
808,0,3,female,18.0,0
809,0,2,male,39.0,0
810,1,1,female,33.0,1
811,0,3,male,26.0,0
812,0,3,male,39.0,0
813,0,2,male,35.0,0
814,0,3,female,6.0,4
815,0,3,male,30.5,0
816,0,1,male,,0
817,0,3,female,23.0,0
818,0,2,male,31.0,1
819,0,3,male,43.0,0
820,0,3,male,10.0,3
821,1,1,female,52.0,1
822,1,3,male,27.0,0
823,0,1,male,38.0,0
824,1,3,female,27.0,0
825,0,3,male,2.0,4
826,0,3,male,,0
827,0,3,male,,0
828,1,2,male,1.0,0
829,1,3,male,,0
830,1,1,female,62.0,0
831,1,3,female,15.0,1
832,1,2,male,0.83,1
833,0,3,male,,0
834,0,3,male,23.0,0
835,0,3,male,18.0,0
836,1,1,female,39.0,1
837,0,3,male,21.0,0
838,0,3,male,,0
839,1,3,male,32.0,0
840,1,1,male,,0
841,0,3,male,20.0,0
842,0,2,male,16.0,0
843,1,1,female,30.0,0
844,0,3,male,34.5,0
845,0,3,male,17.0,0
846,0,3,male,42.0,0
847,0,3,male,,8
848,0,3,male,35.0,0
849,0,2,male,28.0,0
850,1,1,female,,1
851,0,3,male,4.0,4
852,0,3,male,74.0,0
853,0,3,female,9.0,1
854,1,1,female,16.0,0
855,0,2,female,44.0,1
856,1,3,female,18.0,0
857,1,1,female,45.0,1
858,1,1,male,51.0,0
859,1,3,female,24.0,0
860,0,3,male,,0
861,0,3,male,41.0,2
862,0,2,male,21.0,1
863,1,1,female,48.0,0
864,0,3,female,,8
865,0,2,male,24.0,0
866,1,2,female,42.0,0
867,1,2,female,27.0,1
868,0,1,male,31.0,0
869,0,3,male,,0
870,1,3,male,4.0,1
871,0,3,male,26.0,0
872,1,1,female,47.0,1
873,0,1,male,33.0,0
874,0,3,male,47.0,0
875,1,2,female,28.0,1
876,1,3,female,15.0,0
877,0,3,male,20.0,0
878,0,3,male,19.0,0
879,0,3,male,,0
880,1,1,female,56.0,0
881,1,2,female,25.0,0
882,0,3,male,33.0,0
883,0,3,female,22.0,0
884,0,2,male,28.0,0
885,0,3,male,25.0,0
886,0,3,female,39.0,0
887,0,2,male,27.0,0
888,1,1,female,19.0,0
889,0,3,female,,1
890,1,1,male,26.0,0
891,0,3,male,32.0,0
